Date,Region,Channel,Sales,Leads,Conversions,Revenue
2024-01-12,West,Ads,625,63,26,298.23
2024-01-12,West,Social Media,3783,44,5,404.97
2024-01-12,West,Referral,732,128,19,90.7
2024-01-13,North,Email,4706,53,48,4680.47
2024-01-13,North,Ads,2972,120,7,201.08
2024-01-13,North,Social Media,2261,78,46,1242.92
2024-01-13,North,Referral,3948,52,23,1554.38
2024-01-13,South,Email,2105,131,5,91.62
2024-01-13,South,Ads,4017,81,31,1336.51
2024-01-13,South,Social Media,3370,156,4,87.26
2024-01-13,South,Referral,1563,55,25,600.2
2024-01-13,East,Email,967,94,5,41.26
2024-01-13,East,Ads,617,132,31,125.83
2024-01-13,East,Social Media,4789,98,12,603.21
2024-01-13,East,Referral,1641,87,20,331.9
2024-01-13,West,Email,4708,159,48,1539.1
2024-01-13,West,Ads,4915,57,38,3284.67
2024-01-13,West,Social Media,2526,22,2,217.62
2024-01-13,West,Referral,2539,29,6,433.56
2024-01-14,North,Email,2719,149,14,274.34
2024-01-14,North,Ads,2119,84,38,767.92
2024-01-14,North,Social Media,3324,162,25,534.73
2024-01-14,North,Referral,3990,113,32,1324.04
2024-01-14,South,Email,4527,197,15,404.39
2024-01-14,South,Ads,4030,156,35,788.88
2024-01-14,South,Social Media,2070,20,9,1014.07
2024-01-14,South,Referral,4143,83,30,1281.7
2024-01-14,East,Email,1372,33,29,1043.49
2024-01-14,East,Ads,3398,142,15,362.26
2024-01-14,East,Social Media,4727,108,46,2084.47
2024-01-14,East,Referral,2949,59,9,438.9
2024-01-14,West,Email,4097,51,39,3182.85
2024-01-14,West,Ads,2690,172,18,326.51
2024-01-14,West,Social Media,4533,72,41,2301.51
2024-01-14,West,Referral,3610,198,7,150.08
2024-01-15,North,Email,1702,61,16,514.04
2024-01-15,North,Ads,2535,174,37,646.36
2024-01-15,North,Social Media,1620,174,34,257.49
2024-01-15,North,Referral,3145,85,11,406.02
2024-01-15,South,Email,2365,116,39,806.73
2024-01-15,South,Ads,3728,155,6,143.52
2024-01-15,South,Social Media,2871,95,46,1512.52
2024-01-15,South,Referral,594,134,37,166.82
2024-01-15,East,Email,2334,46,6,344.23
2024-01-15,East,Ads,3825,93,41,1742.54
2024-01-15,East,Social Media,1314,109,47,592.64
2024-01-15,East,Referral,2765,160,41,710.2
2024-01-15,West,Email,1484,130,41,537.7
2024-01-15,West,Ads,4031,119,49,1790.39
2024-01-15,West,Social Media,3435,56,9,585.48
2024-01-15,West,Referral,3556,111,32,1068.91
2024-01-16,North,Email,4646,48,15,1704.13
2024-01-16,North,Ads,4297,30,24,2918.95
2024-01-16,North,Social Media,3976,109,47,1499.31
2024-01-16,North,Referral,3530,76,2,106.64
2024-01-16,South,Email,3208,194,10,181.52
2024-01-16,South,Ads,701,199,27,88.78
2024-01-16,South,Social Media,1074,44,27,769.73
2024-01-16,South,Referral,885,154,19,108.35
2024-01-16,East,Email,4100,147,44,997.89
2024-01-16,East,Ads,1705,171,26,259.07
2024-01-16,East,Social Media,4072,107,34,1222.69
2024-01-16,East,Referral,4658,169,27,599.24
2024-01-16,West,Email,3620,100,21,747.73
2024-01-16,West,Ads,4743,137,23,664.2
2024-01-16,West,Social Media,2224,123,50,831.59
2024-01-16,West,Referral,2259,160,31,481.44
2024-01-17,North,Email,1451,81,33,583.64
2024-01-17,North,Ads,3876,192,30,598.86
2024-01-17,North,Social Media,3995,38,19,1832.94
2024-01-17,North,Referral,3557,132,31,855.28
2024-01-17,South,Email,3835,176,40,959.88
2024-01-17,South,Ads,1981,129,35,517.86
2024-01-17,South,Social Media,554,51,8,92.43
2024-01-17,South,Referral,1332,76,4,62.56
2024-01-17,East,Email,2990,91,48,1620.95
2024-01-17,East,Ads,4175,27,3,520.54
2024-01-17,East,Social Media,1811,139,47,693.24
2024-01-17,East,Referral,664,161,32,122.68
2024-01-17,West,Email,4925,26,2,334.58
2024-01-17,West,Ads,4742,131,20,748.02
2024-01-17,West,Social Media,4677,21,2,501.99
2024-01-17,West,Referral,4094,149,4,113.88
2024-01-18,North,Email,4991,39,6,720.3
2024-01-18,North,Ads,1779,156,35,456.78
2024-01-18,North,Social Media,4077,105,45,1495.76
2024-01-18,North,Referral,3261,177,47,855.89
2024-01-18,South,Email,3268,133,18,401.36
2024-01-18,South,Ads,3099,44,40,2499.51
2024-01-18,South,Social Media,1801,23,14,1180.11
2024-01-18,South,Referral,1304,94,7,113.2
2024-01-18,East,Email,4424,61,37,2681.36
2024-01-18,East,Ads,2581,36,26,1862.17
2024-01-18,East,Social Media,2122,136,43,574.32
2024-01-18,East,Referral,2574,76,32,1245.88
2024-01-18,West,Email,4763,117,13,557.4
2024-01-18,West,Ads,954,157,46,317.32
2024-01-18,West,Social Media,3528,141,47,962.89
2024-01-18,West,Referral,3567,73,44,1878.54
2024-01-19,North,Email,3863,134,27,643.94
2024-01-19,North,Ads,4350,59,12,833.67
2024-01-19,North,Social Media,1636,58,41,1187.2
2024-01-19,North,Referral,4693,74,48,3597.02
2024-01-19,South,Email,2285,55,48,1804.55
2024-01-19,South,Ads,2262,100,46,896.79
2024-01-19,South,Social Media,653,92,10,66.76
2024-01-19,South,Referral,1740,80,44,994.62
2024-01-19,East,Email,4620,58,36,3233.61
2024-01-19,East,Ads,1752,127,45,736.92
2024-01-19,East,Social Media,4697,117,13,492.87
2024-01-19,East,Referral,3615,68,18,1129.25
2024-01-19,West,Email,4394,66,13,879.99
2024-01-19,West,Ads,715,102,9,66.59
2024-01-19,West,Social Media,3652,137,17,516.47
2024-01-19,West,Referral,4226,78,27,1200.47
2024-01-20,North,Email,546,51,11,121.92
2024-01-20,North,Ads,900,170,27,146.83
2024-01-20,North,Social Media,4845,154,15,400.28
2024-01-20,North,Referral,4732,134,49,1464.08
2024-01-20,South,Email,1326,101,32,480.96
2024-01-20,South,Ads,1434,165,43,395.32
2024-01-20,South,Social Media,1682,171,36,362.7
2024-01-20,South,Referral,630,56,44,463.3
2024-01-20,East,Email,4778,127,40,1393.7
2024-01-20,East,Ads,4087,112,23,778.45
2024-01-20,East,Social Media,3269,180,17,299.7
2024-01-20,East,Referral,1631,145,3,27.33
2024-01-20,West,Email,3741,53,31,1750.71
2024-01-20,West,Ads,2304,160,19,321.65
2024-01-20,West,Social Media,4310,142,40,975.87
2024-01-20,West,Referral,4624,81,45,2699.91
2024-01-21,North,Email,4011,140,11,263.68
2024-01-21,North,Ads,3930,103,6,250.2
2024-01-21,North,Social Media,4260,22,14,2553.27
2024-01-21,North,Referral,2533,87,19,494.24
2024-01-21,South,Email,931,200,47,178.97
2024-01-21,South,Ads,4994,68,25,1560.21
2024-01-21,South,Social Media,2734,56,38,1550.52
2024-01-21,South,Referral,1306,82,47,778.74
2024-01-21,East,Email,2368,172,8,131.78
2024-01-21,East,Ads,1384,129,11,96.63
2024-01-21,East,Social Media,1324,188,50,416.53
2024-01-21,East,Referral,4345,24,6,1142.64
2024-01-21,West,Email,1226,196,10,73.25
2024-01-21,West,Ads,2413,80,43,1304.9
2024-01-21,West,Social Media,1349,81,18,258.28
2024-01-21,West,Referral,4755,32,25,4083.17
2024-01-22,North,Email,3660,92,5,205.29
2024-01-22,North,Ads,4181,30,10,1333.0
2024-01-22,North,Social Media,3182,48,10,542.1
2024-01-22,North,Referral,1855,189,10,91.44
2024-01-22,South,Email,2060,24,12,859.84
2024-01-22,South,Ads,1483,143,16,133.08
2024-01-22,South,Social Media,4472,195,27,627.27
2024-01-22,South,Referral,536,79,49,356.83
2024-01-22,East,Email,4536,100,41,2144.61
2024-01-22,East,Ads,817,112,4,27.4
2024-01-22,East,Social Media,4430,52,7,601.42
2024-01-22,East,Referral,2883,187,29,509.79
2024-01-22,West,Email,2204,32,12,740.11
2024-01-22,West,Ads,2216,189,37,454.4
2024-01-22,West,Social Media,2969,26,6,789.54
2024-01-22,West,Referral,1325,50,24,510.11
2024-01-23,North,Email,3219,126,31,921.45
2024-01-23,North,Ads,2629,119,3,75.08
2024-01-23,North,Social Media,2512,31,8,568.69
2024-01-23,North,Referral,3617,174,50,1064.25
2024-01-23,South,Email,4955,117,25,1193.72
2024-01-23,South,Ads,1507,89,20,374.01
2024-01-23,South,Social Media,1747,82,29,650.62
2024-01-23,South,Referral,1745,56,30,1042.81
2024-01-23,East,Email,2387,87,28,665.71
2024-01-23,East,Ads,1417,164,11,94.04
2024-01-23,East,Social Media,521,139,19,81.8
2024-01-23,East,Referral,1186,48,13,353.28
2024-01-23,West,Email,2928,26,12,1525.18
2024-01-23,West,Ads,4499,198,12,292.66
2024-01-23,West,Social Media,4109,193,35,893.33
2024-01-23,West,Referral,538,34,24,429.27
2024-01-24,North,Email,1598,135,33,325.37
2024-01-24,North,Ads,3655,41,12,972.73
2024-01-24,North,Social Media,3396,145,45,856.34
2024-01-24,North,Referral,1488,40,17,722.8
2024-01-24,South,Email,4679,25,20,3405.14
2024-01-24,South,Ads,4463,185,16,423.95
2024-01-24,South,Social Media,2355,44,25,1267.7
2024-01-24,South,Referral,2755,46,9,465.55
2024-01-24,East,Email,1484,164,30,301.5
2024-01-24,East,Ads,1090,46,8,199.14
2024-01-24,East,Social Media,1459,191,25,223.12
2024-01-24,East,Referral,3446,167,47,955.13
2024-01-24,West,Email,2753,36,21,1561.15
2024-01-24,West,Ads,1516,82,23,439.16
2024-01-24,West,Social Media,616,149,25,100.6
2024-01-24,West,Referral,4288,91,22,859.37
2024-01-25,North,Email,4933,129,48,1908.97
2024-01-25,North,Ads,2067,30,14,1063.78
2024-01-25,North,Social Media,2543,121,42,720.14
2024-01-25,North,Referral,713,198,25,77.27
2024-01-25,South,Email,3436,65,33,1408.36
2024-01-25,South,Ads,3220,187,33,668.53
2024-01-25,South,Social Media,501,52,42,380.48
2024-01-25,South,Referral,1417,122,3,41.5
2024-01-25,East,Email,589,193,16,42.97
2024-01-25,East,Ads,1386,191,50,428.36
2024-01-25,East,Social Media,816,142,7,41.75
2024-01-25,East,Referral,3644,122,32,971.59
2024-01-25,West,Email,1215,27,9,439.68
2024-01-25,West,Ads,3889,103,48,2040.58
2024-01-25,West,Social Media,2554,103,17,429.56
2024-01-25,West,Referral,3885,41,27,2538.87
2024-01-26,North,Email,4609,31,24,3782.77
2024-01-26,North,Ads,2060,64,20,766.29
2024-01-26,North,Social Media,3927,192,9,211.46
2024-01-26,North,Referral,2856,51,45,2575.81
2024-01-26,South,Email,1161,56,33,695.79
2024-01-26,South,Ads,1582,150,29,269.09
2024-01-26,South,Social Media,4630,112,16,597.32
2024-01-26,South,Referral,4388,113,22,931.93
2024-01-26,East,Email,1456,43,21,747.69
2024-01-26,East,Ads,3279,127,21,543.25
2024-01-26,East,Social Media,2212,198,33,381.65
2024-01-26,East,Referral,1773,136,35,453.85
2024-01-26,West,Email,3125,98,35,1246.86
2024-01-26,West,Ads,4890,189,13,320.72
2024-01-26,West,Social Media,1029,59,22,419.47
2024-01-26,West,Referral,3414,45,9,656.94
2024-01-27,North,Email,3869,191,15,361.14
2024-01-27,North,Ads,874,56,6,77.5
2024-01-27,North,Social Media,2865,79,48,1805.46
2024-01-27,North,Referral,2778,103,3,67.81
2024-01-27,South,Email,3716,142,26,808.15
2024-01-27,South,Ads,2613,182,38,438.43
2024-01-27,South,Social Media,4523,183,46,1017.34
2024-01-27,South,Referral,3966,29,4,534.35
2024-01-27,East,Email,3139,112,11,329.18
2024-01-27,East,Ads,3932,20,6,1061.03
2024-01-27,East,Social Media,2860,83,21,688.7
2024-01-27,East,Referral,3678,184,48,1022.35
2024-01-27,West,Email,2712,68,50,2157.94
2024-01-27,West,Ads,2703,130,16,340.41
2024-01-27,West,Social Media,1774,167,15,131.11
2024-01-27,West,Referral,1816,39,27,1025.57
2024-01-28,North,Email,1558,78,6,100.83
2024-01-28,North,Ads,1729,31,11,588.33
2024-01-28,North,Social Media,2789,62,35,1463.05
2024-01-28,North,Referral,4368,58,32,2173.01
2024-01-28,South,Email,3749,170,45,1005.18
2024-01-28,South,Ads,4903,99,43,2327.98
2024-01-28,South,Social Media,2533,104,2,53.21
2024-01-28,South,Referral,2018,105,48,993.59
2024-01-28,East,Email,2974,177,19,334.29
2024-01-28,East,Ads,4219,66,41,2902.4
2024-01-28,East,Social Media,1486,91,26,456.76
2024-01-28,East,Referral,3572,166,32,732.34
2024-01-28,West,Email,3624,67,6,334.56
2024-01-28,West,Ads,3791,82,10,530.08
2024-01-28,West,Social Media,3132,96,32,1143.58
2024-01-28,West,Referral,1847,117,39,573.07
2024-01-29,North,Email,2137,38,7,456.86
2024-01-29,North,Ads,1500,42,20,819.69
2024-01-29,North,Social Media,4212,107,8,252.66
2024-01-29,North,Referral,4226,84,13,682.76
2024-01-29,South,Email,2690,168,20,305.96
2024-01-29,South,Ads,1940,68,33,893.74
2024-01-29,South,Social Media,3838,118,9,312.43
2024-01-29,South,Referral,3389,193,10,167.15
2024-01-29,East,Email,4365,91,49,2676.78
2024-01-29,East,Ads,2447,136,30,505.5
2024-01-29,East,Social Media,511,152,35,118.92
2024-01-29,East,Referral,3522,63,37,2157.76
2024-01-29,West,Email,1443,106,7,104.7
2024-01-29,West,Ads,2911,142,44,728.18
2024-01-29,West,Social Media,906,126,17,129.45
2024-01-29,West,Referral,1214,70,16,243.87
2024-01-30,North,Email,640,38,35,510.8
2024-01-30,North,Ads,1463,136,47,466.62
2024-01-30,North,Social Media,605,183,31,111.35
2024-01-30,North,Referral,4516,96,5,265.61
2024-01-30,South,Email,4945,26,13,2157.44
2024-01-30,South,Ads,4154,75,50,2843.9
2024-01-30,South,Social Media,535,103,5,21.68
2024-01-30,South,Referral,2345,148,45,582.79
2024-01-30,East,Email,3438,160,23,557.31
2024-01-30,East,Ads,1743,156,27,266.93
2024-01-30,East,Social Media,509,141,43,180.06
2024-01-30,East,Referral,1572,173,28,282.98
2024-01-30,West,Email,4645,171,20,619.59
2024-01-30,West,Ads,3773,108,19,734.57
2024-01-30,West,Social Media,3540,88,48,1726.41
2024-01-30,West,Referral,3679,180,22,376.94
2024-01-31,North,Email,4003,56,16,1020.31
2024-01-31,North,Ads,2046,157,10,124.63
2024-01-31,North,Social Media,940,172,3,14.92
2024-01-31,North,Referral,4858,104,19,853.55
2024-01-31,South,Email,4508,43,20,2183.31
2024-01-31,South,Ads,1625,61,33,799.68
2024-01-31,South,Social Media,4631,116,37,1295.07
2024-01-31,South,Referral,2414,89,42,1192.58
2024-01-31,East,Email,2304,68,3,108.54
2024-01-31,East,Ads,2975,46,33,2168.4
2024-01-31,East,Social Media,2235,69,4,131.27
2024-01-31,East,Referral,2928,77,4,133.26
2024-01-31,West,Email,3274,191,3,48.6
2024-01-31,West,Ads,4374,117,24,884.74
2024-01-31,West,Social Media,1161,63,37,807.77
2024-01-31,West,Referral,2834,66,17,703.54
2024-02-01,North,Email,1132,74,17,208.17
2024-02-01,North,Ads,2431,155,21,326.05
2024-02-01,North,Social Media,736,42,29,604.58
2024-02-01,North,Referral,2040,123,45,669.81
2024-02-01,South,Email,785,168,21,102.98
2024-02-01,South,Ads,2266,51,34,1576.22
2024-02-01,South,Social Media,3007,57,35,1523.73
2024-02-01,South,Referral,2101,124,22,349.84
2024-02-01,East,Email,2996,94,4,122.24
2024-02-01,East,Ads,2189,74,7,241.8
2024-02-01,East,Social Media,2690,105,38,931.09
2024-02-01,East,Referral,4607,68,43,2959.55
2024-02-01,West,Email,2326,177,25,332.8
2024-02-01,West,Ads,633,86,17,110.71
2024-02-01,West,Social Media,572,162,22,62.85
2024-02-01,West,Referral,4725,182,19,583.5
2024-02-02,North,Email,4861,44,3,282.71
2024-02-02,North,Ads,4759,114,15,535.81
2024-02-02,North,Social Media,737,144,4,24.18
2024-02-02,North,Referral,1548,160,35,280.13
2024-02-02,South,Email,1463,44,16,630.55
2024-02-02,South,Ads,4723,115,29,1101.37
2024-02-02,South,Social Media,1345,39,19,597.0
2024-02-02,South,Referral,2994,153,33,572.42
2024-02-02,East,Email,4849,149,24,672.33
2024-02-02,East,Ads,2453,29,26,1810.56
2024-02-02,East,Social Media,4350,197,32,761.72
2024-02-02,East,Referral,956,102,10,80.31
2024-02-02,West,Email,1679,134,8,107.94
2024-02-02,West,Ads,1108,23,5,288.73
2024-02-02,West,Social Media,2648,122,30,683.42
2024-02-02,West,Referral,4719,185,40,1111.87
2024-02-03,North,Email,2008,135,36,507.14
2024-02-03,North,Ads,2639,33,8,699.54
2024-02-03,North,Social Media,3145,152,3,52.98
2024-02-03,North,Referral,2793,98,22,692.28
2024-02-03,South,Email,1400,84,14,187.8
2024-02-03,South,Ads,741,200,19,58.14
2024-02-03,South,Social Media,1171,183,18,97.2
2024-02-03,South,Referral,2942,168,27,402.31
2024-02-03,East,Email,1045,71,49,789.67
2024-02-03,East,Ads,4304,199,30,638.32
2024-02-03,East,Social Media,2944,132,42,787.66
2024-02-03,East,Referral,3691,156,42,1068.51
2024-02-03,West,Email,1071,67,30,437.23
2024-02-03,West,Ads,741,77,41,388.48
2024-02-03,West,Social Media,1214,53,9,238.73
2024-02-03,West,Referral,2747,196,16,259.17
2024-02-04,North,Email,4426,107,46,1636.51
2024-02-04,North,Ads,2648,27,14,1119.31
2024-02-04,North,Social Media,4682,62,2,125.18
2024-02-04,North,Referral,907,171,18,112.91
2024-02-04,South,Email,4827,77,32,1842.76
2024-02-04,South,Ads,2174,199,16,205.72
2024-02-04,South,Social Media,3046,47,44,2751.35
2024-02-04,South,Referral,1272,113,33,307.39
2024-02-04,East,Email,2073,130,33,529.31
2024-02-04,East,Ads,1746,155,41,484.88
2024-02-04,East,Social Media,3509,197,4,60.46
2024-02-04,East,Referral,2113,124,42,847.33
2024-02-04,West,Email,4714,133,11,436.46
2024-02-04,West,Ads,1151,110,41,362.76
2024-02-04,West,Social Media,1280,200,33,232.16
2024-02-04,West,Referral,1811,51,35,1057.96
2024-02-05,North,Email,2820,187,19,254.96
2024-02-05,North,Ads,4197,41,31,3717.02
2024-02-05,North,Social Media,3743,51,47,2777.09
2024-02-05,North,Referral,4488,141,33,973.46
2024-02-05,South,Email,538,31,10,176.6
2024-02-05,South,Ads,2696,160,22,441.64
2024-02-05,South,Social Media,801,123,47,339.92
2024-02-05,South,Referral,2259,105,23,590.76
2024-02-05,East,Email,3081,111,30,908.63
2024-02-05,East,Ads,4808,199,28,802.37
2024-02-05,East,Social Media,1986,170,25,273.65
2024-02-05,East,Referral,2825,190,38,585.42
2024-02-05,West,Email,3243,22,20,2537.29
2024-02-05,West,Ads,1804,147,38,402.93
2024-02-05,West,Social Media,861,163,9,42.72
2024-02-05,West,Referral,1784,22,2,147.77
2024-02-06,North,Email,2355,125,35,581.34
